M49,AREA,Year,Series,Value
50,Bangladesh,2017,"Safely managed drinking water sources, rural of Proportion of population with access",61.4912
50,Bangladesh,2017,"Safely managed drinking water sources, total of Proportion of population with access",55.4412
50,Bangladesh,2017,"Safely managed sanitation facilities, rural of Proportion of population with access",32.3394
112,Belarus,2005,"Safely managed drinking water sources, total of Proportion of population with access",83.8674
112,Belarus,2005,"Safely managed sanitation facilities, urban of Proportion of population with access",87.8185
112,Belarus,2005,"Safely managed sanitation facilities, rural of Proportion of population with access",91.4207
112,Belarus,2005,"Safely managed sanitation facilities, total of Proportion of population with access",88.8144
112,Belarus,2010,"Safely managed drinking water sources, total of Proportion of population with access",90.0546
112,Belarus,2010,"Safely managed sanitation facilities, urban of Proportion of population with access",85.8085
112,Belarus,2010,"Safely managed sanitation facilities, rural of Proportion of population with access",84.7266
112,Belarus,2010,"Safely managed sanitation facilities, total of Proportion of population with access",85.5344
112,Belarus,2017,"Safely managed drinking water sources, total of Proportion of population with access",94.5214
112,Belarus,2017,"Safely managed sanitation facilities, urban of Proportion of population with access",81.6745
112,Belarus,2017,"Safely managed sanitation facilities, rural of Proportion of population with access",76.3754
112,Belarus,2017,"Safely managed sanitation facilities, total of Proportion of population with access",80.5158
56,Belgium,2005,"Safely managed drinking water sources, total of Proportion of population with access",99.5232
56,Belgium,2005,"Safely managed sanitation facilities, total of Proportion of population with access",86.9175
56,Belgium,2010,"Safely managed drinking water sources, total of Proportion of population with access",99.5232
56,Belgium,2010,"Safely managed sanitation facilities, total of Proportion of population with access",90.2725
56,Belgium,2017,"Safely managed drinking water sources, total of Proportion of population with access",99.5232
56,Belgium,2017,"Safely managed sanitation facilities, total of Proportion of population with access",97.1002
64,Bhutan,2005,"Safely managed drinking water sources, urban of Proportion of population with access",48.6678
64,Bhutan,2005,"Safely managed drinking water sources, rural of Proportion of population with access",23.6347
64,Bhutan,2005,"Safely managed drinking water sources, total of Proportion of population with access",31.3862
64,Bhutan,2010,"Safely managed drinking water sources, urban of Proportion of population with access",48.7724
64,Bhutan,2010,"Safely managed drinking water sources, rural of Proportion of population with access",25.5383
64,Bhutan,2010,"Safely managed drinking water sources, total of Proportion of population with access",33.6221
64,Bhutan,2017,"Safely managed drinking water sources, urban of Proportion of population with access",48.9188
64,Bhutan,2017,"Safely managed drinking water sources, rural of Proportion of population with access",27.6
64,Bhutan,2017,"Safely managed drinking water sources, total of Proportion of population with access",36.1631
68,Bolivia of Plurin. State of,2005,"Safely managed sanitation facilities, urban of Proportion of population with access",17.6375
68,Bolivia of Plurin. State of,2005,"Safely managed sanitation facilities, total of Proportion of population with access",15.0919
68,Bolivia of Plurin. State of,2010,"Safely managed sanitation facilities, urban of Proportion of population with access",20.2491
68,Bolivia of Plurin. State of,2010,"Safely managed sanitation facilities, total of Proportion of population with access",18.0905
68,Bolivia of Plurin. State of,2017,"Safely managed sanitation facilities, urban of Proportion of population with access",24.675
68,Bolivia of Plurin. State of,2017,"Safely managed sanitation facilities, total of Proportion of population with access",22.9383
70,Bosnia and Herzegovina,2005,"Safely managed drinking water sources, total of Proportion of population with access",87.9548
70,Bosnia and Herzegovina,2005,"Safely managed sanitation facilities, urban of Proportion of population with access",7.2497
70,Bosnia and Herzegovina,2005,"Safely managed sanitation facilities, total of Proportion of population with access",19.1332
70,Bosnia and Herzegovina,2010,"Safely managed drinking water sources, total of Proportion of population with access",88.5367
70,Bosnia and Herzegovina,2010,"Safely managed sanitation facilities, urban of Proportion of population with access",8.5932
70,Bosnia and Herzegovina,2010,"Safely managed sanitation facilities, total of Proportion of population with access",19.9123
70,Bosnia and Herzegovina,2017,"Safely managed drinking water sources, total of Proportion of population with access",88.8419
70,Bosnia and Herzegovina,2017,"Safely managed sanitation facilities, urban of Proportion of population with access",11.2728
70,Bosnia and Herzegovina,2017,"Safely managed sanitation facilities, total of Proportion of population with access",21.555
72,Botswana,2005,"Safely managed drinking water sources, urban of Proportion of population with access",83.6547
72,Botswana,2010,"Safely managed drinking water sources, urban of Proportion of population with access",83.7359
72,Botswana,2017,"Safely managed drinking water sources, urban of Proportion of population with access",83.2197
76,Brazil,2005,"Safely managed drinking water sources, urban of Proportion of population with access",91.5309
76,Brazil,2005,"Safely managed sanitation facilities, urban of Proportion of population with access",29.0627
76,Brazil,2005,"Safely managed sanitation facilities, total of Proportion of population with access",27.6766
76,Brazil,2010,"Safely managed drinking water sources, urban of Proportion of population with access",91.8432
76,Brazil,2010,"Safely managed sanitation facilities, urban of Proportion of population with access",36.5074
76,Brazil,2010,"Safely managed sanitation facilities, total of Proportion of population with access",34.846
76,Brazil,2017,"Safely managed drinking water sources, urban of Proportion of population with access",92.2804
76,Brazil,2017,"Safely managed sanitation facilities, urban of Proportion of population with access",51.5951
76,Brazil,2017,"Safely managed sanitation facilities, total of Proportion of population with access",49.2758
100,Bulgaria,2005,"Safely managed drinking water sources, total of Proportion of population with access",96.7195
100,Bulgaria,2005,"Safely managed sanitation facilities, urban of Proportion of population with access",55.1831
100,Bulgaria,2005,"Safely managed sanitation facilities, total of Proportion of population with access",47.5747
100,Bulgaria,2010,"Safely managed drinking water sources, total of Proportion of population with access",96.831
100,Bulgaria,2010,"Safely managed sanitation facilities, urban of Proportion of population with access",58.8408
100,Bulgaria,2010,"Safely managed sanitation facilities, total of Proportion of population with access",51.1676
100,Bulgaria,2017,"Safely managed drinking water sources, total of Proportion of population with access",96.9459
100,Bulgaria,2017,"Safely managed sanitation facilities, urban of Proportion of population with access",72.8941
100,Bulgaria,2017,"Safely managed sanitation facilities, total of Proportion of population with access",64.4137
116,Cambodia,2005,"Safely managed drinking water sources, urban of Proportion of population with access",47.3078
116,Cambodia,2005,"Safely managed drinking water sources, rural of Proportion of population with access",12.535
116,Cambodia,2005,"Safely managed drinking water sources, total of Proportion of population with access",19.2024
116,Cambodia,2010,"Safely managed drinking water sources, urban of Proportion of population with access",51.1692
116,Cambodia,2010,"Safely managed drinking water sources, rural of Proportion of population with access",14.2608
116,Cambodia,2010,"Safely managed drinking water sources, total of Proportion of population with access",21.751
116,Cambodia,2017,"Safely managed drinking water sources, urban of Proportion of population with access",56.575
116,Cambodia,2017,"Safely managed drinking water sources, rural of Proportion of population with access",16.677
116,Cambodia,2017,"Safely managed drinking water sources, total of Proportion of population with access",25.8456
124,Canada,2005,"Safely managed drinking water sources, total of Proportion of population with access",98.2744
124,Canada,2005,"Safely managed sanitation facilities, urban of Proportion of population with access",78.8695
124,Canada,2005,"Safely managed sanitation facilities, rural of Proportion of population with access",78.7115
124,Canada,2005,"Safely managed sanitation facilities, total of Proportion of population with access",78.8381
124,Canada,2010,"Safely managed drinking water sources, total of Proportion of population with access",98.5269
124,Canada,2010,"Safely managed sanitation facilities, urban of Proportion of population with access",81.9764
124,Canada,2010,"Safely managed sanitation facilities, rural of Proportion of population with access",81.5101
124,Canada,2010,"Safely managed sanitation facilities, total of Proportion of population with access",81.8875
124,Canada,2017,"Safely managed drinking water sources, total of Proportion of population with access",98.8609
124,Canada,2017,"Safely managed sanitation facilities, urban of Proportion of population with access",82.2248
124,Canada,2017,"Safely managed sanitation facilities, rural of Proportion of population with access",81.3827
124,Canada,2017,"Safely managed sanitation facilities, total of Proportion of population with access",82.0678
152,Chile,2005,"Safely managed drinking water sources, urban of Proportion of population with access",98.5318
152,Chile,2005,"Safely managed drinking water sources, total of Proportion of population with access",94.309
152,Chile,2005,"Safely managed sanitation facilities, urban of Proportion of population with access",52.601
152,Chile,2005,"Safely managed sanitation facilities, total of Proportion of population with access",53.0946
152,Chile,2010,"Safely managed drinking water sources, urban of Proportion of population with access",98.6473
152,Chile,2010,"Safely managed drinking water sources, total of Proportion of population with access",96.554
152,Chile,2010,"Safely managed sanitation facilities, urban of Proportion of population with access",66.6675
152,Chile,2010,"Safely managed sanitation facilities, total of Proportion of population with access",63.2003
152,Chile,2017,"Safely managed drinking water sources, urban of Proportion of population with access",98.6106
152,Chile,2017,"Safely managed drinking water sources, total of Proportion of population with access",98.6392
152,Chile,2017,"Safely managed sanitation facilities, urban of Proportion of population with access",81.3665
152,Chile,2017,"Safely managed sanitation facilities, total of Proportion of population with access",77.4648
156,China,2005,"Safely managed drinking water sources, urban of Proportion of population with access",93.0448
156,China,2005,"Safely managed sanitation facilities, urban of Proportion of population with access",40.9551
156,China,2005,"Safely managed sanitation facilities, rural of Proportion of population with access",28.6608
156,China,2005,"Safely managed sanitation facilities, total of Proportion of population with access",33.8885
156,China,2010,"Safely managed drinking water sources, urban of Proportion of population with access",92.7454
156,China,2010,"Safely managed sanitation facilities, urban of Proportion of population with access",58.3206
156,China,2010,"Safely managed sanitation facilities, rural of Proportion of population with access",37.1313
156,China,2010,"Safely managed sanitation facilities, total of Proportion of population with access",47.562
156,China,2017,"Safely managed drinking water sources, urban of Proportion of population with access",92.3262
156,China,2017,"Safely managed sanitation facilities, urban of Proportion of population with access",83.696
156,China,2017,"Safely managed sanitation facilities, rural of Proportion of population with access",56.0706
156,China,2017,"Safely managed sanitation facilities, total of Proportion of population with access",72.0823
344,"China, Hong Kong SAR",2005,"Safely managed drinking water sources, urban of Proportion of population with access",88.2256
344,"China, Hong Kong SAR",2005,"Safely managed drinking water sources, total of Proportion of population with access",88.2256
344,"China, Hong Kong SAR",2005,"Safely managed sanitation facilities, urban of Proportion of population with access",92.0626
344,"China, Hong Kong SAR",2005,"Safely managed sanitation facilities, total of Proportion of population with access",92.0626
344,"China, Hong Kong SAR",2010,"Safely managed drinking water sources, urban of Proportion of population with access",97.178
344,"China, Hong Kong SAR",2010,"Safely managed drinking water sources, total of Proportion of population with access",97.178
344,"China, Hong Kong SAR",2010,"Safely managed sanitation facilities, urban of Proportion of population with access",91.9421
344,"China, Hong Kong SAR",2010,"Safely managed sanitation facilities, total of Proportion of population with access",91.9421
344,"China, Hong Kong SAR",2017,"Safely managed drinking water sources, urban of Proportion of population with access",100
344,"China, Hong Kong SAR",2017,"Safely managed drinking water sources, total of Proportion of population with access",100
344,"China, Hong Kong SAR",2017,"Safely managed sanitation facilities, urban of Proportion of population with access",91.7735
344,"China, Hong Kong SAR",2017,"Safely managed sanitation facilities, total of Proportion of population with access",91.7735
446,"China, Macao SAR",2005,"Safely managed drinking water sources, urban of Proportion of population with access",99.9697
446,"China, Macao SAR",2005,"Safely managed drinking water sources, total of Proportion of population with access",60.8055
446,"China, Macao SAR",2010,"Safely managed drinking water sources, urban of Proportion of population with access",99.9879
446,"China, Macao SAR",2010,"Safely managed drinking water sources, total of Proportion of population with access",80.224
446,"China, Macao SAR",2017,"Safely managed drinking water sources, urban of Proportion of population with access",100
446,"China, Macao SAR",2017,"Safely managed drinking water sources, total of Proportion of population with access",100
170,Colombia,2005,"Safely managed drinking water sources, urban of Proportion of population with access",81.2262
170,Colombia,2005,"Safely managed drinking water sources, rural of Proportion of population with access",35.0054
170,Colombia,2005,"Safely managed drinking water sources, total of Proportion of population with access",70.1443
170,Colombia,2005,"Safely managed sanitation facilities, urban of Proportion of population with access",14.2363
170,Colombia,2005,"Safely managed sanitation facilities, total of Proportion of population with access",14.5504
170,Colombia,2010,"Safely managed drinking water sources, urban of Proportion of population with access",81.3321
170,Colombia,2010,"Safely managed drinking water sources, rural of Proportion of population with access",37.1103
170,Colombia,2010,"Safely managed drinking water sources, total of Proportion of population with access",71.5874
170,Colombia,2010,"Safely managed sanitation facilities, urban of Proportion of population with access",14.8949
170,Colombia,2010,"Safely managed sanitation facilities, total of Proportion of population with access",15.5904
170,Colombia,2017,"Safely managed drinking water sources, urban of Proportion of population with access",81.2976
170,Colombia,2017,"Safely managed drinking water sources, rural of Proportion of population with access",40.0571
170,Colombia,2017,"Safely managed drinking water sources, total of Proportion of population with access",73.2334
170,Colombia,2017,"Safely managed sanitation facilities, urban of Proportion of population with access",15.8336
170,Colombia,2017,"Safely managed sanitation facilities, total of Proportion of population with access",16.9865
178,Congo,2005,"Safely managed drinking water sources, urban of Proportion of population with access",45.78
178,Congo,2005,"Safely managed drinking water sources, rural of Proportion of population with access",8.3947
178,Congo,2005,"Safely managed drinking water sources, total of Proportion of population with access",31.1953
178,Congo,2010,"Safely managed drinking water sources, urban of Proportion of population with access",55.4366
178,Congo,2010,"Safely managed drinking water sources, rural of Proportion of population with access",12.4224
178,Congo,2010,"Safely managed drinking water sources, total of Proportion of population with access",39.6314
178,Congo,2017,"Safely managed drinking water sources, urban of Proportion of population with access",58.6264
178,Congo,2017,"Safely managed drinking water sources, rural of Proportion of population with access",19.0581
178,Congo,2017,"Safely managed drinking water sources, total of Proportion of population with access",45.3548
188,Costa Rica,2005,"Safely managed drinking water sources, urban of Proportion of population with access",95.9091
188,Costa Rica,2005,"Safely managed drinking water sources, rural of Proportion of population with access",77.1036
188,Costa Rica,2005,"Safely managed drinking water sources, total of Proportion of population with access",89.4536
188,Costa Rica,2010,"Safely managed drinking water sources, urban of Proportion of population with access",96.1414
188,Costa Rica,2010,"Safely managed drinking water sources, rural of Proportion of population with access",80.4348
188,Costa Rica,2010,"Safely managed drinking water sources, total of Proportion of population with access",91.7021
188,Costa Rica,2017,"Safely managed drinking water sources, urban of Proportion of population with access",96.373
188,Costa Rica,2017,"Safely managed drinking water sources, rural of Proportion of population with access",84.385
188,Costa Rica,2017,"Safely managed drinking water sources, total of Proportion of population with access",93.8028
384,Côte d’Ivoire,2005,"Safely managed drinking water sources, urban of Proportion of population with access",56.6451
384,Côte d’Ivoire,2005,"Safely managed drinking water sources, rural of Proportion of population with access",16.423
384,Côte d’Ivoire,2005,"Safely managed drinking water sources, total of Proportion of population with access",34.6171
384,Côte d’Ivoire,2010,"Safely managed drinking water sources, urban of Proportion of population with access",56.0203
384,Côte d’Ivoire,2010,"Safely managed drinking water sources, rural of Proportion of population with access",16.9653
384,Côte d’Ivoire,2010,"Safely managed drinking water sources, total of Proportion of population with access",35.45
384,Côte d’Ivoire,2017,"Safely managed drinking water sources, urban of Proportion of population with access",55.1455
384,Côte d’Ivoire,2017,"Safely managed drinking water sources, rural of Proportion of population with access",17.7086
384,Côte d’Ivoire,2017,"Safely managed drinking water sources, total of Proportion of population with access",36.5491
191,Croatia,2005,"Safely managed drinking water sources, total of Proportion of population with access",91.451
191,Croatia,2005,"Safely managed sanitation facilities, urban of Proportion of population with access",64.0743
191,Croatia,2005,"Safely managed sanitation facilities, total of Proportion of population with access",58.0046
191,Croatia,2010,"Safely managed drinking water sources, total of Proportion of population with access",92.6169
191,Croatia,2010,"Safely managed sanitation facilities, urban of Proportion of population with access",64.1555
191,Croatia,2010,"Safely managed sanitation facilities, total of Proportion of population with access",58.1911
191,Croatia,2017,"Safely managed drinking water sources, total of Proportion of population with access",89.9594
191,Croatia,2017,"Safely managed sanitation facilities, urban of Proportion of population with access",64.2691
191,Croatia,2017,"Safely managed sanitation facilities, total of Proportion of population with access",58.4969
192,Cuba,2005,"Safely managed sanitation facilities, urban of Proportion of population with access",32.5952
192,Cuba,2005,"Safely managed sanitation facilities, total of Proportion of population with access",34.5159
192,Cuba,2010,"Safely managed sanitation facilities, urban of Proportion of population with access",36.2324
192,Cuba,2010,"Safely managed sanitation facilities, total of Proportion of population with access",38.4072
192,Cuba,2017,"Safely managed sanitation facilities, urban of Proportion of population with access",41.8693
192,Cuba,2017,"Safely managed sanitation facilities, total of Proportion of population with access",44.3372
196,Cyprus,2005,"Safely managed drinking water sources, total of Proportion of population with access",96.2754
196,Cyprus,2005,"Safely managed sanitation facilities, urban of Proportion of population with access",86.3677
196,Cyprus,2005,"Safely managed sanitation facilities, total of Proportion of population with access",76.2293
196,Cyprus,2010,"Safely managed drinking water sources, total of Proportion of population with access",98.5485
196,Cyprus,2010,"Safely managed sanitation facilities, urban of Proportion of population with access",86.3254
196,Cyprus,2010,"Safely managed sanitation facilities, total of Proportion of population with access",75.8737
196,Cyprus,2017,"Safely managed drinking water sources, total of Proportion of population with access",99.6133
196,Cyprus,2017,"Safely managed sanitation facilities, urban of Proportion of population with access",86.2663
196,Cyprus,2017,"Safely managed sanitation facilities, total of Proportion of population with access",75.4637
203,Czechia,2005,"Safely managed drinking water sources, total of Proportion of population with access",96.7917
203,Czechia,2005,"Safely managed sanitation facilities, urban of Proportion of population with access",87.9689
203,Czechia,2005,"Safely managed sanitation facilities, rural of Proportion of population with access",77.3493
203,Czechia,2005,"Safely managed sanitation facilities, total of Proportion of population with access",85.1655
203,Czechia,2010,"Safely managed drinking water sources, total of Proportion of population with access",97.3921
203,Czechia,2010,"Safely managed sanitation facilities, urban of Proportion of population with access",92.3755
203,Czechia,2010,"Safely managed sanitation facilities, rural of Proportion of population with access",80.8212
203,Czechia,2010,"Safely managed sanitation facilities, total of Proportion of population with access",89.2853
203,Czechia,2017,"Safely managed drinking water sources, total of Proportion of population with access",97.8813
203,Czechia,2017,"Safely managed sanitation facilities, urban of Proportion of population with access",97.8045
203,Czechia,2017,"Safely managed sanitation facilities, rural of Proportion of population with access",85.0965
203,Czechia,2017,"Safely managed sanitation facilities, total of Proportion of population with access",94.4591
408,Dem. People's Rep. Korea,2005,"Safely managed drinking water sources, urban of Proportion of population with access",78.5619
408,Dem. People's Rep. Korea,2005,"Safely managed drinking water sources, rural of Proportion of population with access",54.3463
408,Dem. People's Rep. Korea,2005,"Safely managed drinking water sources, total of Proportion of population with access",68.8284
408,Dem. People's Rep. Korea,2005,"Safely managed sanitation facilities, rural of Proportion of population with access",23.7514
408,Dem. People's Rep. Korea,2010,"Safely managed drinking water sources, urban of Proportion of population with access",77.9911
408,Dem. People's Rep. Korea,2010,"Safely managed drinking water sources, rural of Proportion of population with access",52.377
408,Dem. People's Rep. Korea,2010,"Safely managed drinking water sources, total of Proportion of population with access",67.842
408,Dem. People's Rep. Korea,2010,"Safely managed sanitation facilities, rural of Proportion of population with access",18.3726
408,Dem. People's Rep. Korea,2017,"Safely managed drinking water sources, urban of Proportion of population with access",77.1919
408,Dem. People's Rep. Korea,2017,"Safely managed drinking water sources, rural of Proportion of population with access",49.62
408,Dem. People's Rep. Korea,2017,"Safely managed drinking water sources, total of Proportion of population with access",66.6258
408,Dem. People's Rep. Korea,2017,"Safely managed sanitation facilities, rural of Proportion of population with access",5.1361
208,Denmark,2005,"Safely managed drinking water sources, total of Proportion of population with access",94.4562
208,Denmark,2005,"Safely managed sanitation facilities, total of Proportion of population with access",92.1489
208,Denmark,2010,"Safely managed drinking water sources, total of Proportion of population with access",96.0131
208,Denmark,2010,"Safely managed sanitation facilities, total of Proportion of population with access",93.0398
208,Denmark,2017,"Safely managed drinking water sources, total of Proportion of population with access",96.7347
208,Denmark,2017,"Safely managed sanitation facilities, total of Proportion of population with access",94.8404
262,Djibouti,2005,"Safely managed sanitation facilities, urban of Proportion of population with access",31.2045
262,Djibouti,2005,"Safely managed sanitation facilities, rural of Proportion of population with access",12.1763
262,Djibouti,2005,"Safely managed sanitation facilities, total of Proportion of population with access",26.7825
262,Djibouti,2010,"Safely managed sanitation facilities, urban of Proportion of population with access",35.5542
262,Djibouti,2010,"Safely managed sanitation facilities, rural of Proportion of population with access",14.9688
262,Djibouti,2010,"Safely managed sanitation facilities, total of Proportion of population with access",30.8193
262,Djibouti,2017,"Safely managed sanitation facilities, urban of Proportion of population with access",41.4796
262,Djibouti,2017,"Safely managed sanitation facilities, rural of Proportion of population with access",18.9349
262,Djibouti,2017,"Safely managed sanitation facilities, total of Proportion of population with access",36.4404
218,Ecuador,2005,"Safely managed drinking water sources, urban of Proportion of population with access",79.6391
218,Ecuador,2005,"Safely managed drinking water sources, rural of Proportion of population with access",51.9755
218,Ecuador,2005,"Safely managed drinking water sources, total of Proportion of population with access",69.047
218,Ecuador,2005,"Safely managed sanitation facilities, urban of Proportion of population with access",38.0187
218,Ecuador,2005,"Safely managed sanitation facilities, rural of Proportion of population with access",47.388
218,Ecuador,2005,"Safely managed sanitation facilities, total of Proportion of population with access",41.6061
218,Ecuador,2010,"Safely managed drinking water sources, urban of Proportion of population with access",82.0424
218,Ecuador,2010,"Safely managed drinking water sources, rural of Proportion of population with access",54.4425
218,Ecuador,2010,"Safely managed drinking water sources, total of Proportion of population with access",71.7449
218,Ecuador,2010,"Safely managed sanitation facilities, urban of Proportion of population with access",36.2783
218,Ecuador,2010,"Safely managed sanitation facilities, rural of Proportion of population with access",51.4812
218,Ecuador,2010,"Safely managed sanitation facilities, total of Proportion of population with access",41.9505
218,Ecuador,2017,"Safely managed drinking water sources, urban of Proportion of population with access",84.8662
218,Ecuador,2017,"Safely managed drinking water sources, rural of Proportion of population with access",57.8963
218,Ecuador,2017,"Safely managed drinking water sources, total of Proportion of population with access",75.068
218,Ecuador,2017,"Safely managed sanitation facilities, urban of Proportion of population with access",33.3686
218,Ecuador,2017,"Safely managed sanitation facilities, rural of Proportion of population with access",57.1565
218,Ecuador,2017,"Safely managed sanitation facilities, total of Proportion of population with access",42.0108
818,Egypt,2005,"Safely managed sanitation facilities, urban of Proportion of population with access",64.8863
818,Egypt,2005,"Safely managed sanitation facilities, total of Proportion of population with access",54.7394
